Date,Ticker,Open,High,Low,Close,Volume,Volatility,Market_Cap_M
2025-12-26,OTH,8.75,8.75,8.74,8.74,5470,1.71,703.0
2025-12-26,PLTU,41.8,41.8,41.8,41.8,6350,,41.8
2025-12-26,PGH,18.25,18.4,18.4,18.4,2007,2.19,3312.0
2025-12-26,SAH,13.84,13.95,13.9,13.9,29192,1.08,1168.0
2025-12-26,SMD,0.59,0.59,0.57,0.57,1000,3.39,7.1
2025-12-26,SERVI,0.21,0.22,0.22,0.22,500,4.76,2.6
2025-12-26,SFBT,12.33,12.36,12.2,12.2,915,1.3,3020.0
2025-12-26,SIAME,2.67,2.67,2.65,2.65,3987,2.62,40.9
2025-12-26,SIMPA,35.9,35.9,35.9,35.9,57,,39.5
2025-12-26,SIPHA,4.56,4.56,4.5,4.5,7,1.32,8.1
2025-12-26,SITS,3.15,3.15,3.11,3.11,250,1.27,48.5
2025-12-26,SMART,18.9,18.95,18.95,18.95,500,0.26,192.0
2025-12-26,ALKIM,12.55,12.55,12.55,12.55,50,,49.5
2025-12-26,SOMOC,0.45,0.45,0.44,0.44,334,2.22,17.9
2025-12-26,SOPAT,2.05,2.05,2.05,2.05,52796,,77.6
2025-12-26,SOTEM,3.0,3.0,3.0,3.0,2700,,104.0
2025-12-26,SOTET,5.05,5.05,5.05,5.05,2083,1.58,23.4
2025-12-26,STPAP,2.79,2.79,2.79,2.79,102,,78.6
2025-12-26,STPIL,22.2,22.42,22.4,22.4,8049,0.99,92.7
2025-12-26,MGR,9.0,9.0,9.0,9.0,11,,119.0
2025-12-26,SOTUV,13.67,13.69,13.68,13.68,3900,2.05,537.0
2025-12-26,SPDIT,12.78,12.78,12.78,12.78,1004,1.41,358.0
2025-12-26,STA,36.59,37.49,37.39,37.39,170,2.46,74.8
2025-12-26,STAR,63.41,63.41,61.1,61.1,4626,3.64,611.0
2025-12-26,STB,3.79,4.01,4.01,4.01,1184,5.8,623.0
2025-12-26,STEQ,6.5,6.5,6.5,6.5,21015,,9.1
2025-12-26,STIP,3.51,3.51,3.38,3.38,60,3.7,14.2
2025-12-26,SPHAX,3.88,3.9,3.9,3.9,711,0.52,21.5
2025-12-26,TGH,0.83,0.85,0.85,0.85,39564,2.41,91.8
2025-12-26,TLNET,6.7,6.7,6.6,6.6,1820,1.49,80.1
2025-12-26,TPR,11.12,11.35,11.35,11.35,3000,2.07,568.0
2025-12-26,PX1,0.17,0.17,0.17,0.17,6155309,0.52,
2025-12-26,TINV,40.5,40.5,40.49,40.49,223,0.02,39.1
2025-12-26,TRE,9.5,9.5,9.5,9.5,100,,190.0
2025-12-26,TAIR,0.34,0.34,0.34,0.34,4680,,36.1
2025-12-26,TBIDX,231.68,231.68,231.68,231.68,0,,
2025-12-26,TLS,32.37,32.9,32.9,32.9,1390,2.01,355.0
2025-12-26,TVAL,17.48,17.48,17.48,17.48,416,,69.9
2025-12-26,UADH,0.58,0.6,0.6,0.6,5,3.45,22.2
2025-12-26,UBCI,32.28,32.28,32.0,32.0,1380,0.87,640.0
2025-12-26,UIB,24.05,24.1,24.1,24.1,3366,0.21,785.0
2025-12-26,UMED,8.9,8.95,8.9,8.9,1661,1.01,285.0
2025-12-26,WIFAK,7.8,7.8,7.78,7.78,100,0.26,233.0
